neighborhood,zip_code
Phillips West,55407
Downtown West,55402
Downtown East,55415
Ventura Village,55404
Sumner - Glenwood,55411
Shingle Creek,55430
Lind - Bohanon,55430
Webber - Camden,55412
Bottineau,55418
Victory,55412
Humboldt Industrial Area,55430
Howe,55406
Hiawatha,55406
Windom,55419
Ericsson,55407
Field,55419
Page,55419
Como,55414
Prospect Park - East River Road,55414
Jordan,55411
Hawthorne,55411
Willard - Hay,55411
Near - North,55411
Harrison,55405
Loring Park,55403
Steven's Square - Loring Heights,55403
Minnehaha,55417
Diamond Lake,55417
Cooper,55406
Tangletown,55419
North Loop,55401
Hale,55417
Keewaydin,55417
Fulton,55410
Lynnhurst,55419
Bancroft,55407
Standish,55406
Seward,55406
Longfellow,55406
Lowry Hill East,55408
South Uptown,55408
East Phillips,55407
Cleveland,55412
Wenonah,55417
Holland,55418
Audubon Park,55418
Regina,55419
Northrop,55407
Sheridan,55413
Logan Park,55413
Windom Park,55418
Linden Hills,55410
East Harriet,55408
King Field,55409
Morris Park,55417
Mid - City Industrial,55413
Midtown Phillips,55404
Bryn - Mawr,55405
Northeast Park,55413
St. Anthony West,55413
St. Anthony East,55413
Central,55408
Powderhorn Park,55407
Corcoran,55407
Bryant,55409
Kenny,55419
Armatage,55410
Beltrami,55413
Cedar - Isles - Dean,55416
Kenwood,55405
Lowry Hill,55403
East Isles,55408
Elliot Park,55404
Nicollet Island - East Bank,55413
Marcy Holmes,55414
Folwell,55412
McKinley,55412
Camden Industrial,55430
Columbia Park,55418
Waite Park,55418
Marshall Terrace,55418
Whittier,55404
Lyndale,55408
East Bde Maka Ska,55408
West Maka Ska,55408
