neighborhood,permit_growth_pct,value_growth_pct,recent_permit_count
Armatage,22.222222222222214,-13.497713936389511,212.66666666666666
Audubon Park,31.70163170163171,88.91772810695971,188.33333333333334
Bancroft,150.64935064935065,633.7871197439786,193
Beltrami,-23.943661971830984,-83.78623040572005,27
Bottineau,5.714285714285714,24.79074816723336,37
Bryant,109.02777777777777,275.51049098699343,100.33333333333333
Bryn - Mawr,161.7283950617284,613.5906060530007,388.6666666666667
Camden Industrial,-51.11111111111112,-33.84986167163358,3.6666666666666665
Cedar - Isles - Dean,-16.448801742919393,-39.780534028686795,255.66666666666666
Cedar Riverside,-34.42028985507246,-15.010671694456882,60.333333333333336
Central,146.23655913978493,86.5809849311197,305.3333333333333
Cleveland,72.6027397260274,59.569905105195176,126
Columbia Park,72.09302325581395,1148.0468254190891,74
Como,35.74660633484163,-71.66747566153894,150
Cooper,107.37913486005091,-69.26977831646239,271.6666666666667
Corcoran,198.01324503311258,25.028926612651393,225
Diamond Lake,26.070763500931093,12.263940234460948,225.66666666666666
Downtown East,30.069930069930066,-50.7316454067548,93
Downtown West,-47.225548902195605,-53.67111552713351,440.6666666666667
East Bde Maka Ska,5.5292259083728235,-81.81219730166747,111.33333333333333
East Harriet,41.091954022988496,-8.133826881307543,163.66666666666666
East Isles,82.35294117647058,17.18224858139331,186
East Phillips,94.69696969696972,93.49427410648319,85.66666666666667
Elliot Park,-6.535947712418305,-64.65469959799101,95.33333333333333
Ericsson,135.82966226138035,96.79458587195262,267.6666666666667
Field,13.989637305699482,88.00345698414155,110
Folwell,84.70588235294117,27.051594771558158,157
Fulton,19.727891156462576,45.499999537406936,293.3333333333333
Hale,31.436314363143623,57.4902417075161,161.66666666666666
Harrison,108.78552971576225,128.21567030273889,134.66666666666666
Hawthorne,1.7699115044247788,233.36697392758416,115
Hiawatha,133.8095238095238,169.23959343524177,654.6666666666666
Holland,17.857142857142858,-89.40341616811949,99
Howe,146.25550660792953,96.4086297475726,559
Humboldt Industrial Area,18.518518518518512,413.64647132074515,5.333333333333333
Jordan,50.342935528120705,41.4430333084842,182.66666666666666
Keewaydin,10.869565217391305,130.18244178173123,153
Kenny,24.3010752688172,125.50288879943612,192.66666666666666
Kenwood,177.14285714285714,5.2941244128906,194
King Field,36.3511659807956,110.37502546632074,331.3333333333333
Lind - Bohanon,18.318318318318326,-56.37410565849679,131.33333333333334
Linden Hills,9.35672514619883,-22.34109024832635,374
Logan Park,10.928961748633888,163.5302035267785,67.66666666666667
Longfellow,102.89855072463767,5.674861104900738,303.3333333333333
Loring Park,40.38104872702749,2523.4058188753247,1387.6666666666667
Lowry Hill,82.02716823406477,55.327181939811965,290.3333333333333
Lowry Hill East,67.01509872241579,-73.28434871276114,239.66666666666666
Lyndale,36.84210526315789,290.7532833714701,169
Lynnhurst,1.2048192771084338,48.19842384366122,294
Marcy Holmes,-13.479977439368303,-48.46340178685435,255.66666666666666
Marshall Terrace,15.053763440860207,-26.68946214279122,35.666666666666664
McKinley,90.47619047619048,103.68873762225907,66.66666666666667
Mid - City Industrial,-16.3963963963964,16.19917229541847,77.33333333333333
Midtown Phillips,144.0251572327044,999.2074368916697,194
Minnehaha,31.87541418157721,521.2104620071271,331.6666666666667
Morris Park,46.50205761316873,77.94232422566846,118.66666666666667
Near - North,41.935483870967744,49.83315744202476,198
Nicollet Island - East Bank,-53.98037077426391,73.51524264842696,211
North Loop,-17.32552464616887,-43.40740884279949,282.3333333333333
Northeast Park,-8.602150537634412,229.04066140598042,28.333333333333332
Northrop,49.145299145299134,100.70206409617649,232.66666666666666
Page,17.530864197530857,18.974326929524768,79.33333333333333
Phillips West,79.00262467191602,-1.6366258612981144,113.66666666666667
Powderhorn Park,143.21705426356587,24.956240098092056,418.3333333333333
Prospect Park - East River Road,21.614583333333325,-53.126259073797534,155.66666666666666
Regina,50,315.74533964645155,102
Seward,45.0733752620545,419.02371511640933,230.66666666666666
Sheridan,15.815085158150843,-47.05417613320347,79.33333333333333
Shingle Creek,54.814814814814824,-7.6530475372066755,69.66666666666667
South Uptown,48.499210110584514,-5.149703768287004,156.66666666666666
St. Anthony East,20.720720720720713,124.36647030226251,44.666666666666664
St. Anthony West,3.8461538461538463,-74.6241637874197,54
Standish,213.7992831541218,171.037278154785,583.6666666666666
Steven's Square - Loring Heights,39.74358974358975,183.37749664550887,72.66666666666667
Sumner - Glenwood,-28.605200945626475,-67.61146656302655,50.333333333333336
Tangletown,4.363001745200703,7.976582979733061,199.33333333333334
University of Minnesota,-55.15151515151515,-46.14095055257797,12.333333333333334
Ventura Village,155.07246376811594,50.82942365712605,117.33333333333333
Victory,33.866666666666674,-48.62390509213124,167.33333333333334
Waite Park,55.480984340044735,47.499987337175206,231.66666666666666
Webber - Camden,35.98484848484849,-61.55781130468081,119.66666666666667
Wenonah,45.04065040650406,46.59622396021163,148.66666666666666
West Maka Ska,-9.714285714285714,157.22501591554226,79
Whittier,64.46540880503146,-24.283195425940747,348.6666666666667
Willard - Hay,169.16099773242632,-20.53647294577003,395.6666666666667
Windom,14.754098360655737,6.861610990039274,140
Windom Park,37.37373737373736,49.14279191552907,158.66666666666666
