zip_code,monthly_rent_estimate,rent_data_date
55401,1870.5258459196816,2026-03-31
55402,1704.1944444444443,2026-03-31
55403,1402.0286195286196,2026-03-31
55404,1328.8170924935632,2026-03-31
55405,1423.5902356902361,2026-03-31
55406,1489.1851674641148,2026-03-31
55407,1534.642857142857,2026-03-31
55408,1453.556698744199,2026-03-31
55409,1557.5925925925928,2026-03-31
55410,2505.361904761905,2026-03-31
55411,1899.0317460317465,2026-03-31
55412,1898.222222222222,2026-03-31
55413,1753.3780952380955,2026-03-31
55414,1601.192086834734,2026-03-31
55415,2165.877694235589,2026-03-31
55416,1883.5830212234705,2026-03-31
55417,1970.4666666666665,2026-03-31
55418,1745.288888888889,2026-03-31
55419,1866.5555555555557,2026-03-31
55420,1182.7260019887228,2026-02-28
55421,1480.2777777777776,2026-03-31
55422,1676.9166666666667,2026-03-31
55423,1320.3768115942028,2026-03-31
55424,2795,2026-03-31
55425,1650.3214296814297,2026-03-31
55426,1697.1566666666668,2026-03-31
55427,1569.613834422658,2026-03-31
55428,1417.1005291005292,2026-03-31
55430,1819,2026-03-31
55431,1743.5707070707074,2026-03-31
55432,1476.4029304029302,2026-03-31
55433,1523.0059523809523,2026-03-31
55434,1888.3333333333333,2026-03-31
55435,1929.7619883040936,2026-03-31
55436,1741.3989898989896,2026-03-31
55437,1637.3005698005695,2026-03-31
55438,1675.1666666666667,2026-03-31
55441,1721.3411588411589,2026-03-31
55442,2020.5,2026-03-31
55443,1495.3452380952378,2026-03-31
55446,2064.196127946128,2026-03-31
55447,1826.7310606060607,2026-03-31
55448,1762,2026-03-31
